ИНН;КПП;ОГРН;Наименование краткое;Наименование полное;Адрес юридический;Индекс;Регион (область);Район;Город / населённый пункт;E-mail;Телефоны;Сайт;Источник контактов;Должность руководителя;ФИО руководителя;Численность работников;Численность на дату;ОКВЭД;ОКВЭД наименование;Статус
2106004094;210601001;1022102234440;"МАОУ ""СРЕДНЕТАТМЫШСКАЯ СОШ"" КАНАШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЕТАТМЫШСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КАНАШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429342, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н КАНАШСКИЙ, Д. СРЕДНИЕ ТАТМЫШИ, УЛ. 50 ЛЕТ ПОБЕДЫ, Д.28;429342;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;Д. СРЕДНИЕ ТАТМЫШИ;;;;;Директор;Дмитриева Ирина Владимировна;;;85.14;Образование среднее общее;действующая
2103005967;210301001;1032132002803;"МАОУ ""СУГУТСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СУГУТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" БАТЫРЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429356, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, М.О. БАТЫРЕВСКИЙ, С. СУГУТЫ, УЛ. СОВЕТСКАЯ, ЗД. 2;429356;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. СУГУТЫ;;;;;Директор;Нртина Надежда Валерьевна;;;85.14;Образование среднее общее;действующая
2103005886;210301001;1032132002616;"МАОУ ""ТАТАРСКО-СУГУТСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТАТАРСКО- СУГУТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" БАТЫРЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429357, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, М.О. БАТЫРЕВСКИЙ, Д. ТАТАРСКИЕ СУГУТЫ, УЛ. ШКОЛЬНАЯ, Д. 22;429357;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;Д. ТАТАРСКИЕ СУГУТЫ;;;;;Директор;Козлова Флюра Фатыховна;;;85.14;Образование среднее общее;действующая
2108006192;210801001;1042132003330;"МАОУ ""ТОКАЕВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТОКАЕВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КОМСОМОЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429155, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н КОМСОМОЛЬСКИЙ, С. ТОКАЕВО, УЛ. ЗЕЛЕНАЯ, Д.1 А;429155;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. ТОКАЕВО;;;;;Директор;Зарипов Наиль Сабирзянович;;;85.14;Образование среднее общее;действующая
2114001957;211401001;1022102833719;"МАОУ ""УРМАРСКАЯ СОШ ИМ. Г.Е. ЕГОРОВА""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""УРМАРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ. Г.Е. ЕГОРОВА"" УРМАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429400, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н УРМАРСКИЙ, ПГТ УРМАРЫ, ПЕР. ШКОЛЬНЫЙ, Д.3, -, -;429400;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;ПГТ УРМАРЫ;;;;;Исполняющий обязанности директора;Матвеева Ольга Юрьевна;;;85.14;Образование среднее общее;действующая
2118001605;211801001;1022103031895;"МАОУ ""ХОДАРСКАЯ СОШ ИМ. И.Н. УЛЬЯНОВА""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ХОДАРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ И.Н. УЛЬЯНОВА"" ШУМЕРЛИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429105, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н ШУМЕРЛИНСКИЙ, С. ХОДАРЫ, УЛ. ЛЕНИНА, Д. 101;429105;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. ХОДАРЫ;;;;;Директор;Макарова Зинаида Васильевна;;;85.14;Образование среднее общее;действующая
2102002650;210201001;1042133001800;"МАОУ ""ЧУВАШСКО-СОРМИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЧУВАШСКО- СОРМИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" АЛИКОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429261, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, М.О. АЛИКОВСКИЙ, С. ЧУВАШСКАЯ СОРМА, УЛ. СОВЕТСКАЯ, Д. 16;429261;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. ЧУВАШСКАЯ СОРМА;;;;;Директор;Павлов Петр Петрович;;;85.14;Образование среднее общее;действующая
2114002478;211401001;1022102830397;"МАОУ ""ШИХАБЫЛОВСКАЯ ООШ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШИХАБЫЛОВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" УРМАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429413, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н УРМАРСКИЙ, Д. ШИХАБЫЛОВО, УЛ. ЗЕЛЕНАЯ, Д.52;429413;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;Д. ШИХАБЫЛОВО;;;;;Директор;Боредский Герман Станиславович;;;85.13;Образование основное общее;действующая
2106003615;210601001;1022102233900;"МАОУ ""ШИХАЗАНСКАЯ СОШ ИМ. М. СЕСПЕЛЯ"" КАНАШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШИХАЗАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ М. СЕСПЕЛЯ"" КАНАШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429310, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н КАНАШСКИЙ, С. ШИХАЗАНЫ, УЛ. М.СЕСПЕЛЯ, Д.18;429310;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. ШИХАЗАНЫ;;;;;Директор;Изратова Венера Владимировна;;;85.14;Образование среднее общее;действующая
2111005350;211101001;1022102430943;"МАОУ ""ШОРШЕЛСКАЯ СОШ ИМЕНИ А.Г. НИКОЛАЕВА""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШОРШЕЛСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ЛЕТЧИКА- КОСМОНАВТА А.Г. НИКОЛАЕВА"" МАРИИНСКО-ПОСАДСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429584, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н МАРИИНСКО-ПОСАДСКИЙ, С. ШОРШЕЛЫ, УЛ. 30 ЛЕТ ПОБЕДЫ, Д.14;429584;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. ШОРШЕЛЫ;;;;;Директор;Егорова Елена Николаевна;;;85.14;Образование среднее общее;действующая
2103005999;210301001;1032132002836;"МАОУ ""ШЫГЫРДАНСКАЯ СОШ ИМЕНИ ПРОФЕССОРА Э.З.ФЕИЗОВА"" БАТЫРЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШЫГЫРДАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ПРОФЕССОРА Э.З.ФЕИЗОВА"" БАТЫРЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429360, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, М.О. БАТЫРЕВСКИЙ, С. ШЫГЫРДАН, УЛ. ЛЕНИНА, ВЛД. 58;429360;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. ШЫГЫРДАН;;;;;Директор;Калайбашева Сания Саматовна;;;85.14;Образование среднее общее;действующая
2103005910;210301001;1032132002660;"МАОУ ""ШЫГЫРДАНСКАЯ СОШ №1""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШЫГЫРДАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №1"" БАТЫРЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429360, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, М.О. БАТЫРЕВСКИЙ, С. ШЫГЫРДАН, УЛ. НАРИМАНА, ВЛД. 78;429360;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. ШЫГЫРДАН;;;;;Директор;Абейдуллова Гелсирень Гадельзяновна;;;85.14;Образование среднее общее;действующая
2106004048;210601001;1022102231722;"МАОУ ""ЯНГЛИЧСКАЯ СОШ ИМ. ГЕРОЯ РФ Н.Ф. ГАВРИЛОВА"" КАНАШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЯНГЛИЧСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ГЕРОЯ РОССИЙСКОЙ ФЕДЕРАЦИИ НИКОЛАЯ ФЕДОРОВИЧА ГАВРИЛОВА"" КАНАШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429346, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н КАНАШСКИЙ, С. ЯНГЛИЧИ, УЛ. МОЛОДЕЖНАЯ, Д.3;429346;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. ЯНГЛИЧИ;;;;;Директор;Васильева Светлана Станиславовна;;;85.14;Образование среднее общее;действующая
2102002427;210201001;1032133002032;"МАОУ ""ЯНДОБИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЯНДОБИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" АЛИКОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429256, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, М.О. АЛИКОВСКИЙ, С. ЯНДОБА, УЛ. ШКОЛЬНАЯ, ЗД. 1;429256;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. ЯНДОБА;;;;;Директор;Кондратьев Альберт Петрович;;;85.14;Образование среднее общее;действующая
2105003570;210501001;1042133000216;"МБОУ ""КЛИМОВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КЛИМОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ИБРЕСИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429704, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н ИБРЕСИНСКИЙ, С. КЛИМОВО, УЛ. ШКОЛЬНАЯ, Д.17;429704;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. КЛИМОВО;;;;;Директор;Ильмухин Александр Юрьевич;;;85.14;Образование среднее общее;действующая
2109100078;210901001;1022102830089;"МБОУ ""ПИКШИКСКАЯ ООШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПИКШИКСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429622, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, М.О. КРАСНОАРМЕЙСКИЙ, Д. ПИКШИКИ, УЛ. ВОСТОЧНАЯ, ЗД. 2;429622;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;Д. ПИКШИКИ;;;;;Директор;Гаврилов Анатолий Иванович;;;85.14;Образование среднее общее;действующая
2101003636;210101001;1022101629021;"МБОУ "" СОЙГИНСКАЯ СОШ"" АЛАТЫРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СОЙГИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" АЛАТЫРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429809, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н АЛАТЫРСКИЙ, С. СОЙГИНО, УЛ. ЛЕНИНА, Д.13;429809;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. СОЙГИНО;;;;;Директор;Кондратьев Сергей Васильевич;;;85.14;Образование среднее общее;действующая
2116810544;211601001;1022102431702;"МБОУ """"СИНЬЯЛЬСКАЯ ООШ"" ЧЕБОКСАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СИНЬЯЛЬСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ЧЕБОКСАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429500, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н ЧЕБОКСАРСКИЙ, С. СИНЬЯЛЫ, УЛ. ЦЕНТРАЛЬНАЯ, Д.41;429500;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. СИНЬЯЛЫ;;;;;Директор;Смирнов Артем Михайлович;;;85.13;Образование основное общее;действующая
2116810382;211601001;1022102432307;"МБОУ ""АБАШЕВСКАЯ СОШ"" ЧЕБОКСАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АБАШЕВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ЧЕБОКСАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429500, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н ЧЕБОКСАРСКИЙ, С. АБАШЕВО, УЛ. ШКОЛЬНАЯ, Д.1А;429500;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. АБАШЕВО;;;;;Директор;Антонова Татьяна Михайловна;;;85.14;Образование среднее общее;действующая
2104005624;210401001;1032133000580;"МБОУ ""АБЫЗОВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АБЫЗОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ВУРНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429210, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н ВУРНАРСКИЙ, С. АБЫЗОВО, УЛ. ЦЕНТРАЛЬНАЯ, Д.28;429210;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. АБЫЗОВО;;;;;Временно исполняющий обязанности директора;Крючкова Валентина Васильевна;;;85.14;Образование среднее общее;действующая
2104005663;210401001;1032133000635;"МБОУ ""АЗИМСИРМИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЗИМСИРМИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ВУРНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429214, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н ВУРНАРСКИЙ, Д. АЗИМ-СИРМА, УЛ. СОВЕТСКАЯ, Д.12;429214;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;Д. АЗИМ-СИРМА;;;;;Директор;Степанова Юлия Павловна;;;85.14;Образование среднее общее;действующая
2105003404;210501001;1032133003022;"МБОУ ""АЙБЕЧСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЙБЕЧСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ИБРЕСИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429346, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н ИБРЕСИНСКИЙ, Д. АЙБЕЧИ, УЛ. ЦЕНТРАЛЬНАЯ, Д.35;429346;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;Д. АЙБЕЧИ;;;;;Директор;Максимов Петр Николаевич;;;85.14;Образование среднее общее;действующая
2112002634;211201001;1022102630660;"МБОУ ""АКРАМОВСКАЯ ООШ"" МОРГАУШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АКРАМОВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" МОРГАУШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429532, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н МОРГАУШСКИЙ, С. АКРАМОВО, УЛ. ЦЕНТРАЛЬНАЯ, Д.36;429532;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. АКРАМОВО;;;;;Директор;Кудашова Лира Николаевна;;;85.13;Образование основное общее;действующая
2104005649;210401001;1032133000602;"МБОУ ""АЛГАЗИНСКАЯ СОШ ИМ. В.П. ПЕТРОВА (ПРАСКИ ВИТТИ)""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЛГАЗИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ. В.П. ПЕТРОВА (ПРАСКИ ВИТТИ)"" ВУРНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429219, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н ВУРНАРСКИЙ, Д. АЛГАЗИНО, УЛ. ЦЕНТРАЛЬНАЯ, Д.1;429219;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;Д. АЛГАЗИНО;;;;;Директор;Павлова Светлана Гелиевна;;;85.14;Образование среднее общее;действующая
2118001570;211801001;1022103031840;"МБОУ ""АЛГАШИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЛГАШИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ШУМЕРЛИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429136, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н ШУМЕРЛИНСКИЙ, С. РУССКИЕ АЛГАШИ, УЛ. ОКТЯБРЬСКАЯ, Д.3, К.В, -;429136;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. РУССКИЕ АЛГАШИ;;;;;Исполняющий обязанности директора;Ковтуненко Лариса Васильевна;;;85.14;Образование среднее общее;действующая
2108006019;210801001;1042132001889;"МБОУ ""АЛЕКСАНДРОВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЛЕКСАНДРОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КОМСОМОЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429152, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Р-Н КОМСОМОЛЬСКИЙ, Д. АЛЕКСАНДРОВКА, УЛ. КОМСОМОЛЬСКАЯ, Д.170;429152;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;Д. АЛЕКСАНДРОВКА;;;;;Директор;Евграфова Ирина Ипатьевна;;;85.14;Образование среднее общее;действующая
2102002360;210201001;1032133001207;"МБОУ ""АЛИКОВСКАЯ СОШ ИМ. И.Я.ЯКОВЛЕВА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЛИКОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ. И.Я.ЯКОВЛЕВА"" АЛИКОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429250, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, М.О. АЛИКОВСКИЙ, С. АЛИКОВО, УЛ. СОВЕТСКАЯ, Д. 15;429250;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. АЛИКОВО;;;;;Директор;Волков Владислав Константинович;;;85.14;Образование среднее общее;действующая
2109002200;210901001;1022102830001;"МБОУ ""АЛМАНЧИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЛМАНЧИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ";429627, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, М.О. КРАСНОАРМЕЙСКИЙ, С. АЛМАНЧИНО, УЛ. ШКОЛЬНАЯ, ВЛД. 32;429627;ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ;;С. АЛМАНЧИНО;;;;;Директор;Димитриев Олег Васильевич;;;85.14;Образование среднее общее;действующая
